"Date","Price","Open","High","Low","Vol.","Change %"
"08-11-2023","1,167.95","1,166.00","1,170.50","1,160.88","7.88M","0.52%"
"07-11-2023","1,161.90","1,167.03","1,169.55","1,159.78","6.96M","-0.65%"
"06-11-2023","1,169.50","1,166.15","1,170.00","1,162.80","10.65M","0.83%"
"03-11-2023","1,159.85","1,163.60","1,167.47","1,157.88","8.85M","-0.02%"
"02-11-2023","1,160.10","1,156.97","1,162.15","1,153.97","10.56M","0.99%"
"01-11-2023","1,148.70","1,144.57","1,158.75","1,137.60","10.31M","0.42%"
"31-10-2023","1,143.95","1,164.00","1,164.00","1,141.45","12.81M","-1.06%"
"30-10-2023","1,156.25","1,137.00","1,162.50","1,134.97","16.81M","2.06%"
"27-10-2023","1,132.90","1,120.00","1,136.75","1,117.97","11.77M","1.77%"
"26-10-2023","1,113.25","1,125.50","1,129.00","1,110.15","15.22M","-1.39%"
"25-10-2023","1,128.97","1,125.03","1,140.60","1,121.50","11.62M","-0.23%"
"23-10-2023","1,131.60","1,145.00","1,153.13","1,127.63","7.85M","-1.56%"
"20-10-2023","1,149.55","1,150.00","1,157.35","1,148.15","8.91M","-0.31%"
"19-10-2023","1,153.07","1,156.00","1,160.90","1,150.50","12.03M","-0.77%"
"18-10-2023","1,162.00","1,177.63","1,183.50","1,160.50","8.92M","-1.33%"
"17-10-2023","1,177.63","1,178.00","1,179.85","1,170.65","7.93M","0.48%"
"16-10-2023","1,172.03","1,172.50","1,177.28","1,168.00","5.93M","-0.22%"
"13-10-2023","1,174.65","1,170.00","1,178.75","1,164.57","10.15M","0.00%"
"12-10-2023","1,174.70","1,171.93","1,179.68","1,169.07","12.55M","0.19%"
"11-10-2023","1,172.53","1,157.22","1,174.85","1,156.50","9.81M","1.59%"
"10-10-2023","1,154.20","1,153.28","1,158.95","1,151.88","10.24M","0.44%"
"09-10-2023","1,149.13","1,154.05","1,155.97","1,147.50","7.58M","-0.85%"
"06-10-2023","1,159.00","1,158.53","1,162.40","1,156.03","5.43M","0.17%"
"05-10-2023","1,157.05","1,159.63","1,164.70","1,154.50","10.95M","0.00%"
"04-10-2023","1,157.07","1,154.50","1,159.50","1,147.55","10.29M","-0.17%"
"03-10-2023","1,159.07","1,164.97","1,167.80","1,158.00","8.86M","-1.14%"
"29-09-2023","1,172.50","1,170.90","1,184.55","1,167.05","12.34M","0.47%"
"28-09-2023","1,167.05","1,191.50","1,191.50","1,162.50","14.52M","-1.47%"
"27-09-2023","1,184.45","1,171.75","1,185.90","1,169.25","11.72M","1.13%"
"26-09-2023","1,171.25","1,169.28","1,175.10","1,167.80","10.09M","0.09%"
"25-09-2023","1,170.22","1,175.20","1,180.35","1,167.55","14.25M","-0.62%"
"22-09-2023","1,177.47","1,188.00","1,191.22","1,175.00","19.18M","-0.42%"
"21-09-2023","1,182.40","1,187.47","1,195.05","1,180.00","12.23M","-0.73%"
"20-09-2023","1,191.07","1,211.53","1,213.80","1,177.50","57.08M","-2.23%"
"18-09-2023","1,218.22","1,220.03","1,225.50","1,216.03","7.52M","-0.87%"
"15-09-2023","1,228.93","1,234.00","1,234.00","1,224.75","25.47M","0.19%"
"14-09-2023","1,226.65","1,230.00","1,232.90","1,222.50","9.21M","0.09%"
"13-09-2023","1,225.53","1,220.00","1,231.32","1,213.13","12.80M","0.50%"
"12-09-2023","1,219.43","1,241.50","1,241.50","1,217.97","16.26M","-1.44%"
"11-09-2023","1,237.30","1,226.00","1,238.43","1,226.00","13.27M","1.08%"
"08-09-2023","1,224.10","1,220.00","1,228.00","1,211.47","23.11M","0.67%"
"07-09-2023","1,216.00","1,210.85","1,219.13","1,205.50","13.65M","0.14%"
"06-09-2023","1,214.35","1,210.55","1,218.07","1,208.63","8.20M","0.21%"
"05-09-2023","1,211.80","1,210.00","1,216.97","1,206.22","8.68M","0.54%"
"04-09-2023","1,205.35","1,206.32","1,211.82","1,202.65","9.35M","-0.08%"
"01-09-2023","1,206.32","1,203.28","1,212.82","1,200.82","18.11M","0.23%"
"31-08-2023","1,203.50","1,211.50","1,212.50","1,199.95","21.64M","-0.46%"
"30-08-2023","1,209.03","1,216.00","1,221.50","1,207.50","12.17M","-0.10%"
"29-08-2023","1,210.18","1,226.03","1,226.72","1,204.07","16.88M","-0.96%"
"28-08-2023","1,221.88","1,236.00","1,242.00","1,215.55","12.58M","-1.00%"
"25-08-2023","1,234.18","1,228.00","1,252.50","1,221.30","22.22M","-0.46%"
"24-08-2023","1,239.90","1,269.95","1,269.95","1,235.50","14.14M","-1.68%"
"23-08-2023","1,261.10","1,262.10","1,271.43","1,258.47","9.52M","0.11%"
"22-08-2023","1,259.70","1,258.45","1,268.97","1,249.50","7.71M","-0.02%"
"21-08-2023","1,260.00","1,269.97","1,277.72","1,257.82","9.22M","-1.44%"
"18-08-2023","1,278.40","1,265.63","1,288.80","1,254.28","18.64M","0.74%"
"17-08-2023","1,269.00","1,283.55","1,289.05","1,266.43","13.67M","-1.44%"
"16-08-2023","1,287.57","1,275.50","1,291.40","1,275.50","10.20M","-0.08%"
"14-08-2023","1,288.63","1,269.50","1,291.15","1,262.50","9.58M","1.18%"
"11-08-2023","1,273.57","1,266.22","1,279.43","1,256.18","22.18M","0.42%"
"10-08-2023","1,268.22","1,262.47","1,275.00","1,254.22","15.47M","0.45%"
"09-08-2023","1,262.60","1,252.43","1,264.50","1,240.55","11.49M","0.66%"
"08-08-2023","1,254.32","1,264.00","1,267.22","1,249.78","9.84M","-0.60%"
"07-08-2023","1,261.93","1,260.50","1,264.20","1,252.50","5.98M","0.57%"
"04-08-2023","1,254.78","1,249.40","1,258.00","1,235.80","22.89M","1.36%"
"03-08-2023","1,237.95","1,237.65","1,250.45","1,229.03","10.17M","-0.42%"
"02-08-2023","1,243.18","1,254.60","1,256.00","1,231.80","12.75M","-1.07%"
"01-08-2023","1,256.60","1,277.50","1,279.50","1,252.65","9.54M","-1.41%"
"31-07-2023","1,274.63","1,263.93","1,276.95","1,258.97","8.55M","0.85%"
"28-07-2023","1,263.93","1,256.03","1,271.43","1,250.28","20.83M","1.00%"
"27-07-2023","1,251.35","1,267.03","1,268.82","1,245.18","17.23M","-0.93%"
"26-07-2023","1,263.10","1,242.50","1,273.50","1,242.50","12.91M","1.63%"
"25-07-2023","1,242.90","1,247.00","1,252.60","1,240.00","12.03M","-0.06%"
"24-07-2023","1,243.70","1,240.50","1,257.47","1,234.65","23.73M","-2.02%"
"21-07-2023","1,269.38","1,304.50","1,307.45","1,261.80","30.25M","-3.10%"
"20-07-2023","1,309.93","1,290.00","1,315.47","1,290.00","38.72M","1.54%"
"19-07-2023","1,290.00","1,284.62","1,296.42","1,269.64","36.11M","0.76%"
"18-07-2023","1,280.29","1,278.72","1,288.00","1,267.83","23.88M","0.85%"
"17-07-2023","1,269.50","1,246.94","1,277.83","1,238.32","20.51M","2.04%"
"14-07-2023","1,244.08","1,248.31","1,253.25","1,237.00","13.96M","-0.08%"
"13-07-2023","1,245.13","1,263.69","1,270.55","1,242.52","13.55M","-0.89%"
"12-07-2023","1,256.36","1,255.71","1,271.91","1,253.59","17.29M","0.11%"
"11-07-2023","1,254.98","1,249.62","1,257.38","1,242.68","18.52M","1.08%"
"10-07-2023","1,241.52","1,220.57","1,251.03","1,214.26","30.68M","3.85%"
"07-07-2023","1,195.47","1,196.10","1,209.70","1,192.93","12.35M","-0.20%"
"06-07-2023","1,197.81","1,169.35","1,200.39","1,169.35","17.65M","2.10%"
"05-07-2023","1,173.18","1,184.30","1,184.30","1,169.23","9.46M","-0.16%"
"04-07-2023","1,175.11","1,191.56","1,191.56","1,168.07","7.44M","-1.03%"
"03-07-2023","1,187.34","1,161.17","1,190.20","1,159.95","11.22M","2.57%"
"30-06-2023","1,157.63","1,155.89","1,160.54","1,150.01","10.29M","0.82%"
"28-06-2023","1,148.21","1,140.72","1,152.01","1,133.85","10.48M","1.32%"
"27-06-2023","1,133.21","1,133.26","1,139.14","1,128.76","8.94M","0.04%"
"26-06-2023","1,132.80","1,138.00","1,141.81","1,129.69","11.67M","-0.76%"
"23-06-2023","1,141.52","1,147.94","1,149.98","1,140.27","6.12M","-0.82%"
"22-06-2023","1,150.94","1,160.24","1,168.10","1,149.35","7.03M","-1.12%"
"21-06-2023","1,164.01","1,160.70","1,166.53","1,156.61","6.43M","0.28%"
"20-06-2023","1,160.74","1,156.41","1,163.88","1,150.71","6.39M","0.21%"
"19-06-2023","1,158.34","1,172.95","1,172.95","1,154.18","6.28M","-0.99%"
"16-06-2023","1,169.96","1,162.15","1,172.23","1,162.15","22.31M","0.97%"
"15-06-2023","1,158.68","1,158.34","1,163.22","1,150.94","10.90M","0.03%"
"14-06-2023","1,158.36","1,144.36","1,159.79","1,142.54","12.26M","1.23%"
"13-06-2023","1,144.29","1,132.55","1,145.47","1,128.58","10.38M","1.48%"
"12-06-2023","1,127.63","1,123.70","1,129.92","1,118.94","5.90M","0.09%"
"09-06-2023","1,126.63","1,138.00","1,138.70","1,124.84","5.42M","-0.71%"
"08-06-2023","1,134.66","1,137.55","1,142.47","1,130.74","11.14M","0.06%"
"07-06-2023","1,133.98","1,128.92","1,134.82","1,122.39","9.52M","0.76%"
"06-06-2023","1,125.45","1,127.31","1,129.24","1,117.57","6.92M","0.08%"
"05-06-2023","1,124.50","1,119.93","1,127.45","1,115.96","10.07M","0.90%"
"02-06-2023","1,114.49","1,121.66","1,127.04","1,112.58","14.58M","-0.33%"
"01-06-2023","1,118.14","1,125.81","1,127.97","1,115.76","13.47M","-0.27%"
"31-05-2023","1,121.16","1,134.82","1,139.30","1,117.12","25.02M","-1.99%"
"30-05-2023","1,143.88","1,144.17","1,151.94","1,141.34","10.47M","-0.03%"
"29-05-2023","1,144.17","1,144.36","1,148.44","1,138.09","9.24M","0.56%"
"26-05-2023","1,137.77","1,115.76","1,138.91","1,112.47","11.65M","2.73%"
"25-05-2023","1,107.57","1,104.82","1,111.67","1,096.72","10.60M","-0.01%"
"24-05-2023","1,107.70","1,110.27","1,118.48","1,104.61","7.49M","-0.58%"
"23-05-2023","1,114.19","1,116.96","1,120.30","1,112.79","5.62M","-0.02%"
"22-05-2023","1,114.40","1,105.32","1,119.39","1,104.12","6.86M","0.53%"
"19-05-2023","1,108.47","1,104.89","1,110.29","1,097.99","7.43M","0.32%"
"18-05-2023","1,104.89","1,111.92","1,115.30","1,101.76","9.72M","-0.22%"
"17-05-2023","1,107.27","1,118.03","1,118.94","1,102.59","8.12M","-0.59%"
"16-05-2023","1,113.85","1,132.10","1,134.64","1,112.20","8.05M","-1.42%"
"15-05-2023","1,129.94","1,130.24","1,136.89","1,122.64","6.31M","0.20%"
"12-05-2023","1,127.72","1,121.12","1,129.10","1,115.08","6.42M","0.16%"
"11-05-2023","1,125.88","1,134.35","1,139.14","1,124.18","9.74M","-0.65%"
"10-05-2023","1,133.28","1,130.28","1,134.76","1,126.29","10.04M","0.69%"
"09-05-2023","1,125.54","1,123.48","1,128.83","1,118.14","5.97M","0.31%"
"08-05-2023","1,122.07","1,112.13","1,127.40","1,109.47","8.45M","1.23%"
"05-05-2023","1,108.38","1,108.04","1,117.28","1,105.77","8.07M","-0.26%"
"04-05-2023","1,111.22","1,099.03","1,113.42","1,096.06","7.97M","1.15%"
"03-05-2023","1,098.55","1,109.86","1,109.86","1,095.35","6.52M","-0.86%"
"02-05-2023","1,108.06","1,105.86","1,110.22","1,102.19","11.98M","0.85%"
"28-04-2023","1,098.74","1,081.26","1,100.28","1,081.15","14.37M","1.83%"
"27-04-2023","1,079.01","1,078.08","1,082.17","1,073.09","8.46M","0.63%"
"26-04-2023","1,072.23","1,079.90","1,083.12","1,068.57","7.95M","-0.59%"
"25-04-2023","1,078.56","1,074.00","1,080.62","1,066.96","8.52M","0.77%"
"24-04-2023","1,070.37","1,078.08","1,080.76","1,065.83","11.94M","0.38%"
"21-04-2023","1,066.28","1,067.03","1,071.73","1,060.56","7.06M","0.13%"
"20-04-2023","1,064.94","1,068.60","1,070.82","1,058.61","6.47M","-0.25%"
"19-04-2023","1,067.64","1,061.76","1,070.32","1,058.65","11.33M","0.50%"
"18-04-2023","1,062.35","1,078.99","1,078.99","1,055.84","9.60M","-1.14%"
"17-04-2023","1,074.66","1,100.76","1,100.76","1,066.30","16.55M","0.51%"
"13-04-2023","1,069.23","1,068.10","1,073.91","1,063.10","11.43M","0.38%"
"12-04-2023","1,065.21","1,060.54","1,074.81","1,057.68","16.78M","0.44%"
"11-04-2023","1,060.54","1,059.47","1,062.65","1,054.95","9.73M","0.49%"
"10-04-2023","1,055.32","1,066.73","1,066.92","1,053.82","11.96M","-0.71%"
"06-04-2023","1,062.85","1,052.28","1,068.55","1,052.28","17.02M","0.67%"
"05-04-2023","1,055.77","1,065.83","1,065.83","1,047.92","15.01M","-0.24%"
"03-04-2023","1,058.31","1,064.46","1,066.28","1,050.85","9.50M","0.02%"
"31-03-2023","1,058.13","1,023.61","1,063.76","1,023.47","26.00M","4.31%"
"29-03-2023","1,014.40","1,016.35","1,018.98","1,003.68","17.36M","-0.59%"
"28-03-2023","1,020.43","1,019.07","1,024.29","1,015.44","11.61M","0.47%"
"27-03-2023","1,015.69","1,006.59","1,023.16","998.74","12.97M","1.55%"
"24-03-2023","1,000.14","1,019.19","1,021.34","997.74","11.42M","-1.98%"
"23-03-2023","1,020.34","1,029.51","1,030.37","1,018.19","15.00M","-1.27%"
"22-03-2023","1,033.42","1,037.23","1,040.16","1,030.42","10.08M","0.30%"
"21-03-2023","1,030.28","1,007.25","1,032.24","1,006.36","19.75M","3.11%"
"20-03-2023","999.21","1,005.45","1,007.72","989.57","18.02M","-0.98%"
"17-03-2023","1,009.13","1,018.96","1,022.23","1,004.41","31.40M","-0.13%"
"16-03-2023","1,010.40","1,018.16","1,023.16","999.64","16.95M","-0.50%"
"15-03-2023","1,015.46","1,036.82","1,043.27","1,011.08","20.06M","-1.71%"
"14-03-2023","1,033.12","1,034.96","1,046.28","1,029.99","14.79M","-0.37%"
"13-03-2023","1,037.00","1,057.20","1,064.01","1,032.69","11.79M","-1.64%"
"10-03-2023","1,054.34","1,062.88","1,064.01","1,050.87","12.31M","-1.55%"
"09-03-2023","1,070.93","1,096.69","1,097.10","1,069.05","14.99M","-2.40%"
"08-03-2023","1,097.31","1,093.38","1,098.06","1,082.62","14.57M","0.36%"
"06-03-2023","1,093.38","1,089.43","1,100.60","1,089.43","9.39M","0.98%"
"03-03-2023","1,082.80","1,066.35","1,086.46","1,062.90","13.52M","2.55%"
"02-03-2023","1,055.86","1,060.83","1,067.48","1,053.84","8.61M","-0.76%"
"01-03-2023","1,063.97","1,064.01","1,064.69","1,054.59","10.66M","0.92%"
"28-02-2023","1,054.27","1,069.50","1,074.45","1,050.23","20.30M","-1.91%"
"27-02-2023","1,074.84","1,081.26","1,084.73","1,067.51","10.34M","-0.66%"
"24-02-2023","1,082.03","1,076.72","1,087.68","1,074.91","8.71M","0.68%"
"23-02-2023","1,074.68","1,079.44","1,087.05","1,071.89","9.09M","-0.48%"
"22-02-2023","1,079.85","1,101.21","1,103.05","1,078.11","10.18M","-2.27%"
"21-02-2023","1,104.91","1,100.33","1,110.67","1,095.04","12.29M","0.82%"
"20-02-2023","1,095.97","1,109.86","1,112.01","1,094.02","8.16M","-1.06%"
"17-02-2023","1,107.68","1,098.51","1,110.99","1,094.24","10.90M","0.42%"
"16-02-2023","1,103.07","1,111.88","1,118.39","1,100.80","15.94M","-0.08%"
"15-02-2023","1,103.93","1,078.54","1,106.32","1,077.17","30.92M","2.26%"
"14-02-2023","1,079.49","1,057.63","1,081.21","1,054.77","13.22M","2.36%"
"13-02-2023","1,054.64","1,062.29","1,066.73","1,050.19","9.56M","-0.57%"
"10-02-2023","1,060.67","1,068.96","1,068.96","1,053.71","9.96M","-0.82%"
"09-02-2023","1,069.48","1,068.30","1,076.20","1,059.47","12.16M","0.17%"
"08-02-2023","1,067.62","1,049.94","1,071.23","1,047.22","19.53M","2.00%"
"07-02-2023","1,046.72","1,049.48","1,056.48","1,040.86","13.97M","-0.24%"
"06-02-2023","1,049.24","1,050.85","1,053.57","1,046.67","13.70M","-0.75%"
"03-02-2023","1,057.20","1,066.28","1,066.28","1,040.86","22.80M","0.09%"
"02-02-2023","1,056.27","1,052.21","1,065.83","1,049.03","12.61M","-0.55%"
"01-02-2023","1,062.15","1,080.33","1,080.33","1,046.31","17.86M","-0.59%"
"31-01-2023","1,068.48","1,081.26","1,083.82","1,062.65","20.94M","-0.25%"
"30-01-2023","1,071.16","1,058.43","1,076.68","1,044.49","20.10M","0.96%"
"27-01-2023","1,060.99","1,082.35","1,083.69","1,049.33","23.84M","-1.90%"
"25-01-2023","1,081.51","1,095.08","1,096.10","1,080.35","11.43M","-1.38%"
"24-01-2023","1,096.67","1,107.59","1,109.24","1,083.69","15.22M","-0.59%"
"23-01-2023","1,103.18","1,111.67","1,119.48","1,100.78","10.11M","-0.51%"
"20-01-2023","1,108.79","1,123.48","1,123.48","1,106.34","13.78M","-1.19%"
"19-01-2023","1,122.14","1,122.52","1,126.27","1,115.15","11.02M","-0.11%"
"18-01-2023","1,123.34","1,122.79","1,130.78","1,116.83","12.41M","-0.17%"
"17-01-2023","1,125.20","1,115.76","1,127.11","1,112.40","9.92M","1.42%"
"16-01-2023","1,109.45","1,122.43","1,125.59","1,101.69","12.57M","-0.95%"
"13-01-2023","1,120.12","1,115.94","1,122.52","1,105.14","19.03M","-0.16%"
"12-01-2023","1,121.93","1,146.10","1,149.58","1,118.94","16.33M","-2.16%"
"11-01-2023","1,146.69","1,158.66","1,161.15","1,144.40","10.62M","-1.26%"
"10-01-2023","1,161.33","1,182.94","1,182.94","1,155.70","7.43M","-1.48%"
"09-01-2023","1,178.76","1,155.39","1,181.12","1,154.50","9.90M","2.36%"
"06-01-2023","1,151.57","1,146.92","1,156.59","1,143.13","5.86M","0.91%"
"05-01-2023","1,141.20","1,145.49","1,151.35","1,136.64","12.59M","-0.18%"
"04-01-2023","1,143.24","1,160.70","1,162.54","1,141.18","8.55M","-1.51%"
"03-01-2023","1,160.72","1,164.35","1,167.96","1,156.52","7.07M","-0.73%"
"02-01-2023","1,169.28","1,157.52","1,170.68","1,156.70","4.91M","1.13%"
